Trope;Frequency
WhatTheHellIsThatAccent;110
Greed;109
PantyShot;109
TeensAreMonsters;109
TheHeavy;109
TheRemake;109
YankTheDogsChain;109
BriefcaseFullOfMoney;108
CoolPlane;108
FourTemperamentEnsemble;108
GenreBusting;108
SharpDressedMan;108
SurroundedByIdiots;108
ThatManIsDead;108
TheRival;108
TownWithADarkSecret;108
AbortedArc;107
AffectionateNickname;107
BlownAcrossTheRoom;107
CringeComedy;107
DysfunctionalFamily;107
EmbarrassingNickname;107
GambitPileup;107
GracefulLoser;107
HollywoodAtheist;107
HumanShield;107
MinorCrimeRevealsMajorPlot;107
Retraux;107
StayInTheKitchen;107
AnswerCut;106
BadGuyBar;106
ConMan;106
DefeatMeansFriendship;106
DesignatedGirlFight;106
GambitRoulette;106
KnightOfCerebus;106
SlippingAMickey;106
UnflinchingWalk;106
YourMom;106
AristocratsAreEvil;105
BehindTheBlack;105
ButNowIMustGo;105
DeathFromAbove;105
GreenAesop;105
HappilyEverAfter;105
IHaveYouNowMyPretty;105
IllGirl;105
LineOfSightName;105
NiceToTheWaiter;105
OurGhostsAreDifferent;105
PairTheSpares;105
RoadTripPlot;105
Skinnydipping;105
SpottingTheThread;105
TimePassesMontage;105
Tsundere;105
AllPartOfTheShow;104
AteHisGun;104
CharacterTitle;104
IAteWhat;104
MostWritersAreWriters;104
PlotArmor;104
PrettyBoy;104
SpellMyNameWithAnS;104
TakeOverTheWorld;104
ThemeNaming;104
BadassBystander;103
BadassPreacher;103
BulletproofVest;103
DiscOneFinalBoss;103
EpicTrackingShot;103
FacePalm;103
LeftHanging;103
LoveDodecahedron;103
MadeOfPlasticine;103
Malaproper;103
ScreamsLikeALittleGirl;103
UptownGirl;103
WildTeenParty;103
BadassDriver;102
BattleInTheRain;102
CoDragons;102
HeroesWantRedHeads;102
HospitalHottie;102
